             0	     -0.269633	     -0.471417	      0.563618	    -0.0946482
           0.2	     -0.568504	    -0.0712039	     0.0447615	     -0.884229
           0.4	      0.683267	     -0.339562	     -0.370761	      0.775325
           0.6	     -0.358819	       0.11346	      0.414039	     -0.957762
           0.8	      0.365206	     -0.997571	      -0.39758	     -0.247072
             1	     -0.753448	      0.315552	      0.678187	      0.990254
           1.2	     -0.080886	     -0.330223	      0.348691	      0.979621
           1.4	      0.510116	      -0.85123	     -0.501774	     -0.160362
           1.6	    -0.0428897	      0.169579	     -0.208138	      -0.54508
           1.8	      0.101309	     -0.585752	     -0.838505	     -0.791456
